[2026-05-12 10:13:05.123976] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_12.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101305_project_report_12.docx
[2026-05-12 10:13:06.740751] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_2.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101306_project_report_2.docx.locked
[2026-05-12 10:13:07.252565] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_3.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101307_project_report_3.docx.locked
[2026-05-12 10:13:07.741959] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_1.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101307_project_report_1.docx.locked
[2026-05-12 10:19:35.166969] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_4.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101935_project_report_4.docx
[2026-05-12 10:19:35.271923] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_5.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101935_project_report_5.docx
[2026-05-12 10:19:35.396835] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_6.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101935_project_report_6.docx
[2026-05-12 10:19:35.485914] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_7.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101935_project_report_7.docx
[2026-05-12 10:19:35.603537] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_8.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101935_project_report_8.docx
[2026-05-12 10:19:35.707647] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_9.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101935_project_report_9.docx
[2026-05-12 10:19:35.809787] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_10.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101935_project_report_10.docx
[2026-05-12 10:19:35.909403] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_11.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101935_project_report_11.docx
[2026-05-12 10:19:36.024115] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_12.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101936_project_report_12.docx
[2026-05-12 10:19:37.628373] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_2.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101937_project_report_2.docx.locked
[2026-05-12 10:19:38.127753] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_1.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101938_project_report_1.docx.locked
[2026-05-12 10:19:38.634554] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_3.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101938_project_report_3.docx.locked
[2026-05-12 10:20:11.077706] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_2.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_2.docx
[2026-05-12 10:20:11.179097] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_3.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_3.docx
[2026-05-12 10:20:11.280658] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_4.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_4.docx
[2026-05-12 10:20:11.383449] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_5.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_5.docx
[2026-05-12 10:20:11.498252] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_6.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_6.docx
[2026-05-12 10:20:11.601130] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_7.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_7.docx
[2026-05-12 10:20:11.714140] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_8.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_8.docx
[2026-05-12 10:20:11.815393] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_9.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_9.docx
[2026-05-12 10:20:11.931302] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_10.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102011_project_report_10.docx
[2026-05-12 10:20:12.033830] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_11.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102012_project_report_11.docx
[2026-05-12 10:20:12.135766] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_12.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102012_project_report_12.docx
[2026-05-12 10:20:13.747474] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_1.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102013_project_report_1.docx.locked
[2026-05-12 10:20:45.993758] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_2.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102045_project_report_2.docx
[2026-05-12 10:20:46.110047] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_3.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_3.docx
[2026-05-12 10:20:46.198171] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_4.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_4.docx
[2026-05-12 10:20:46.314053] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_5.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_5.docx
[2026-05-12 10:20:46.401385] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_6.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_6.docx
[2026-05-12 10:20:46.519720] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_7.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_7.docx
[2026-05-12 10:20:46.606145] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_8.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_8.docx
[2026-05-12 10:20:46.721308] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_9.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_9.docx
[2026-05-12 10:20:46.809904] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_10.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_10.docx
[2026-05-12 10:20:46.923817] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_11.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102046_project_report_11.docx
[2026-05-12 10:20:47.009817] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_12.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102047_project_report_12.docx
[2026-05-12 10:20:48.615537] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_1.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_102048_project_report_1.docx.locked
